category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
COMPARTMENTS,GOCC:0005737,Cytoplasm,95,8195,8.71e-14,1.41e-10,"CYP51A1,MAPK1,STS,ATP12A,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,EGFR,SIGMAR1,CA2,PPARG,HMGCR,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PTPN2,HSD11B2,BACE1,PGR,NOS2,PDE2A,HSP90AA1,DYRK1A,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PDE7A,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,TYK2,JAK3,NR1H3,PTPN11,CYP2D6,PREP,CES2"
COMPARTMENTS,GOCC:0110165,Cellular anatomical entity,124,14060,6.13e-14,1.41e-10,"CYP51A1,MAPK1,CSNK2A1,STS,ATP12A,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,HMGCR,NPC1L1,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,SERPINA6,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,HSD17B3,F10,GABBR1,PIK3CD,CA9,POLA1,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,HCRTR1,PPARA,PDE7A,IL6,ADRA2C,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,ABCB1,ADORA2A,PTPN11,CYP2D6,PREP,NR1H2,CES2"
COMPARTMENTS,GOCC:0043227,Membrane-bounded organelle,98,9083,2.41e-12,1.85e-09,"CYP51A1,MAPK1,CSNK2A1,STS,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,RORA,SLC6A4,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,EGFR,SIGMAR1,PPARG,HMGCR,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,CTSB,NR3C2,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,HSD17B3,F10,POLA1,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,GC,EPHX2,NTRK1,TYK2,JAK3,NR1H4,NR1H3,ABCB1,PTPN11,CYP2D6,NR1H2,CES2"
COMPARTMENTS,GOCC:0043231,Intracellular membrane-bounded organelle,88,8162,4.56e-10,2.62e-07,"CYP51A1,MAPK1,CSNK2A1,STS,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,CYP2C9,RORA,SLC6A4,MAPK3,KDR,POLB,CDK2,EGFR,SIGMAR1,PPARG,HMGCR,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,CTSB,NR3C2,AKR1B10,SREBF2,TOP1,PTGS1,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,ALOX5,AR,HSD17B3,F10,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,ESR1,TOP2A,GC,EPHX2,NTRK1,TYK2,JAK3,NR1H4,NR1H3,ABCB1,PTPN11,CYP2D6,NR1H2,CES2"
COMPARTMENTS,GOCC:0043226,Organelle,99,10113,1.37e-09,6.3e-07,"CYP51A1,MAPK1,CSNK2A1,STS,ATP12A,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,RORA,SLC6A4,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,EGFR,SIGMAR1,PPARG,HMGCR,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,CTSB,NR3C2,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,AR,HSD17B3,F10,POLA1,RPS6KA3,SHBG,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,GC,EPHX2,NTRK1,TYK2,JAK3,NR1H4,NR1H3,ABCB1,PTPN11,CYP2D6,NR1H2,CES2"
COMPARTMENTS,GOCC:0043229,Intracellular organelle,96,9609,1.42e-09,6.3e-07,"CYP51A1,MAPK1,CSNK2A1,STS,ATP12A,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,RORA,SLC6A4,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,EGFR,SIGMAR1,PPARG,HMGCR,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,CTSB,NR3C2,AKR1B10,SREBF2,TOP1,PTGS1,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,AR,HSD17B3,F10,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,GC,EPHX2,NTRK1,TYK2,JAK3,NR1H4,NR1H3,ABCB1,PTPN11,CYP2D6,NR1H2,CES2"
COMPARTMENTS,GOCC:0005622,Intracellular,106,11512,3.53e-09,1.16e-06,"CYP51A1,MAPK1,CSNK2A1,STS,ATP12A,HSD17B1,CYP27B1,MAPK14,NR3C1,CTSD,FLT3,CDC25B,FABP4,CYP2C9,RORA,SLC6A4,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,EGFR,SIGMAR1,CA2,PPARG,HMGCR,ACE,CYP11B1,FABP1,ACHE,CDC25A,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,HSD11B1,PTGS2,NR1I3,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,G6PD,MAPK8,CYP19A1,PPARA,PDE7A,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,TOP2A,PIK3CG,GC,EPHX2,CA1,GPBAR1,NTRK1,TYK2,JAK3,NR1H4,NR1H3,ABCB1,PTPN11,CYP2D6,PREP,NR1H2,CES2"
COMPARTMENTS,GOCC:0043235,Receptor complex,17,425,3.89e-09,1.16e-06,"SLC6A4,EGFR,ADRA2A,PPARG,NR1I2,NR3C2,ABL1,GABBR1,JAK2,IL6,FGFR1,GPBAR1,NTRK1,TYK2,HTR2A,NR1H4,NR1H3"
COMPARTMENTS,GOCC:0005886,Plasma membrane,51,3535,6.29e-09,1.61e-06,"CYP51A1,MAPK1,STS,ATP12A,SLC6A2,FLT3,CHRM3,SLC6A4,KCNH2,MAPK3,KDR,SLC6A3,EGFR,ADRA2A,CA2,HMGCR,NPC1L1,ACE,ACHE,GLUL,PLG,ADAM17,PTPN2,MET,BACE1,CACNA1H,PDE2A,PDE4D,SREBF2,DRD2,ABL1,PLAU,TACR2,GABBR1,CA9,JAK2,DRD3,G6PD,HCRTR1,IL6,ADRA2C,FGFR1,OPRM1,CHRM2,ESR1,GPBAR1,NTRK1,TYK2,HTR2A,ABCB1,ADORA2A"
COMPARTMENTS,GOCC:0016021,Integral component of membrane,31,1507,8.44e-09,1.94e-06,"ATP12A,KCNH2,KDR,SLC6A3,EGFR,SIGMAR1,ADRA2A,NPC1L1,ACE,ADAM17,MET,BACE1,CACNA1H,PTGES,PDE4D,SREBF2,DRD2,HSD11B1,GABBR1,CA9,JAK2,HCRTR1,IL6,FGFR1,OPRM1,CHRM2,NTRK1,TYK2,HTR2A,ABCB1,ADORA2A"
